CTBC;18/09/2009;31031917;EM PERCILIA LEONARDO;ARAUJOS;
CTBC;22/03/2011;31031984;EE JOSE MANOEL;ARAUJOS;MG
CTBC;22/03/2011;31032972;EE PROFESSOR FRANCISCO ROCHA;CORREGO DANTA;MG
CTBC;20/08/2010;31033626;ESCOLA ESTADUAL JOSE ATAIDE DE ALMEIDA;IGARATINGA;MG
CTBC;22/03/2011;31033634;ESCOLA ESTADUAL DONA AMANDA PINHEIRO SENNA;IGARATINGA;MG
CTBC;30/09/2009;31033642;EM CEL JOSE GARCIA PEREIRA;IGUATAMA;MG
CTBC;22/03/2011;31033685;EE PAULA CARVALHO;IGUATAMA;MG
CTBC;30/09/2009;31033693;EM SAGRADO CORACAO DE JESUS;IGUATAMA;MG
CTBC;20/08/2012;31033707;EM PIO XII;IGUATAMA;MG
CTBC;22/03/2011;31034185;EE COMENDADOR ZICO TOBIAS;LUZ;MG
CTBC;22/03/2011;31034223;ESCOLA MUNICIPAL PADRE PARREIRAS;LUZ;MG
CTBC;22/03/2011;31034240;EE CAPITAO ALEXANDRE DU;LUZ;MG
CTBC;22/03/2011;31034274;EE PROFESSOR FRANCISCO TIBURCIO;MARAVILHAS;MG
CTBC;22/03/2011;31034509;EM CARAMURU;MOEMA;MG
CTBC;22/03/2011;31034533;EE CHICO MARCAL;MOEMA;MG
CTBC;22/03/2011;31034541;EM VENINA GOMES;MOEMA;MG
CTBC;29/09/2009;31034606;EE DIRETORA MARIA MANSO;NOVA SERRANA;MG
CTBC;22/03/2011;31034614;EE MAJOR AGENOR LOPES CANCADO;NOVA SERRANA;MG
CTBC;22/03/2011;31034622;EE FREI ANSELMO;NOVA SERRANA;MG
CTBC;22/03/2011;31034665;EE ANTONIO MARTINS DO ESPIRITO SANTO;NOVA SERRANA;MG
CTBC;28/09/2009;31034673;EM JOSE ANTONIO DE LACERDA;NOVA SERRANA;MG
CTBC;22/07/2010;31034843;EE DIOGO DE CASTRO;PAPAGAIOS;MG
CTBC;22/03/2011;31034851;EM OLEGARIO PEREIRA;PAPAGAIOS;MG
CTBC;22/03/2011;31034860;EE RENATO FILGUEIRAS;PAPAGAIOS;MG
CTBC;22/03/2011;31034878;EE ANGELA MARIA DE OLIVEIRA;PARA DE MINAS;MG
CTBC;22/03/2011;31034886;ESCOLA ESTADUAL FREI CONCORDIO;PARA DE MINAS;MG
CTBC;22/03/2011;31034894;ESCOLA ESTADUAL CLOVIS SALGADO;PARA DE MINAS;MG
CTBC;22/03/2011;31034908;ESCOLA ESTADUAL GOVERNADOR VALADARES;PARA DE MINAS;MG
CTBC;22/03/2011;31034924;ESCOLA ESTADUAL MANOEL BATISTA;PARA DE MINAS;MG
CTBC;22/03/2011;31034941;EE PREF JOSE PORFIRIO DE OLIVEIRA;PARA DE MINAS;MG
CTBC;22/03/2011;31034967;ESCOLA ESTADUAL NOSSA SENHORA AUXILIADORA;PARA DE MINAS;MG
CTBC;22/03/2011;31035009;ESCOLA ESTADUAL PROFESSOR PEREIRA DA COSTA;PARA DE MINAS;MG
CTBC;27/01/2016;31035041;EE LENIR MEDINA;PARA DE MINAS;MG
CTBC;11/04/2013;31035050;ESCOLA ESTADUAL FRANCISCO DE ASSIS VIANA;PARA DE MINAS;MG
CTBC;22/03/2011;31035068;EE ADEMAR DE MELO;PARA DE MINAS;MG
CTBC;22/03/2011;31035076;EE CORONEL JOAO FERREIRA;PARA DE MINAS;MG
CTBC;14/09/2012;31035084;CESEC DONA AFONSINA;PARA DE MINAS;MG
CTBC;22/03/2011;31035114;ESCOLA MUNICIPAL DOM BOSCO;PARA DE MINAS;MG
CTBC;22/03/2011;31035131;EE FERNANDO OTAVIO;PARA DE MINAS;MG
CTBC;22/03/2011;31035149;ESCOLA ESTADUAL JOAQUIM LUIZ GONZAGA;PARA DE MINAS;MG
CTBC;09/12/2013;31035157;EE CANDIDA ALVARENGA MENDONCA;PARA DE MINAS;MG
CTBC;10/08/2012;31035173;EE ZICO FERREIRA;PARA DE MINAS;MG
CTBC;29/09/2009;31035301;ESCOLA MUNICIPAL FERNANDO BARBOSA;PEQUI;MG
CTBC;30/05/2015;31035327;EE VIRIATO MELGACO;PEQUI;MG
CTBC;28/09/2009;31035343;EM PE HENRIQUE DE MORAIS;PERDIGAO;MG
CTBC;22/03/2011;31035351;EE PEDRO PRIMO;PERDIGAO;MG
CTBC;13/07/2009;31035408;ESCOLA ESTADUAL FRANCISCA BOTELHO;PITANGUI;MG
CTBC;16/07/2009;31035424;EE FRANCISCA CAMPOS GUIMARAES;PITANGUI;MG
CTBC;13/07/2009;31035441;ESCOLA ESTADUAL DOUTOR JACINTO ALVARES;PITANGUI;MG
